nameWithOwner,createdAt,primaryLanguage,updatedAt,pullRequests
moby/moby,2013-01-18T18:10:57Z,Go,2025-03-14T17:34:26Z,20799
ByteByteGoHq/system-design-101,2023-09-18T20:52:03Z,,2025-03-14T18:41:26Z,21
pallets/flask,2010-04-06T11:11:59Z,Python,2025-03-14T14:06:05Z,1590
abi/screenshot-to-code,2023-11-14T17:53:32Z,Python,2025-03-14T18:29:44Z,45
junegunn/fzf,2013-10-23T16:04:23Z,Go,2025-03-14T18:06:42Z,566
base/node,2023-02-01T13:55:02Z,Shell,2025-03-14T18:21:24Z,142
hakimel/reveal.js,2011-06-07T18:54:22Z,JavaScript,2025-03-14T18:21:24Z,405
redis/redis,2009-03-21T22:32:25Z,C,2025-03-14T15:40:11Z,3963
Developer-Y/cs-video-courses,2016-10-21T17:02:11Z,,2025-03-14T18:21:26Z,180
syncthing/syncthing,2013-11-26T09:48:21Z,Go,2025-03-14T18:21:24Z,2615
swiftlang/swift,2015-10-23T21:15:07Z,C++,2025-03-14T18:24:50Z,52665
binary-husky/gpt_academic,2023-03-20T09:05:13Z,Python,2025-03-14T16:21:35Z,223
n8n-io/n8n,2019-06-22T09:24:21Z,TypeScript,2025-03-14T18:22:26Z,8903
josephmisiti/awesome-machine-learning,2014-07-15T19:11:19Z,Python,2025-03-14T18:21:23Z,849
enaqx/awesome-react,2014-08-06T05:31:44Z,,2025-03-14T17:30:00Z,779
d2l-ai/d2l-zh,2017-08-23T04:40:24Z,Python,2025-03-14T18:21:26Z,1019
grafana/grafana,2013-12-11T15:59:56Z,TypeScript,2025-03-14T18:42:10Z,51755
protocolbuffers/protobuf,2014-08-26T15:52:15Z,C++,2025-03-14T17:28:55Z,6917
expressjs/express,2009-06-26T18:56:01Z,JavaScript,2025-03-14T13:49:40Z,416
sdmg15/Best-websites-a-programmer-should-visit,2017-03-05T20:25:17Z,,2025-03-14T18:37:59Z,429
louislam/uptime-kuma,2021-07-03T01:02:42Z,JavaScript,2025-03-14T17:55:40Z,1226
python/cpython,2017-02-10T19:23:51Z,Python,2025-03-14T17:11:40Z,48922
strapi/strapi,2015-09-30T15:34:48Z,TypeScript,2025-03-14T17:45:42Z,8816
chartjs/Chart.js,2013-03-17T23:56:36Z,JavaScript,2025-03-14T12:37:31Z,2985
ventoy/Ventoy,2020-03-10T15:19:19Z,C,2025-03-14T18:01:07Z,280
tesseract-ocr/tesseract,2014-08-12T18:04:59Z,C++,2025-03-14T18:21:25Z,1402
webpack/webpack,2012-03-10T10:08:14Z,JavaScript,2025-03-14T10:48:56Z,4873
apache/superset,2015-07-21T18:55:34Z,TypeScript,2025-03-14T17:56:46Z,14015
leonardomso/33-js-concepts,2018-09-04T13:27:04Z,JavaScript,2025-03-14T17:39:38Z,250
ansible/ansible,2012-03-06T14:58:02Z,Python,2025-03-14T17:49:35Z,38752
kdn251/interviews,2017-02-14T18:19:25Z,Java,2025-03-14T09:00:30Z,42
swisskyrepo/PayloadsAllTheThings,2016-10-18T07:29:07Z,Python,2025-03-14T18:21:25Z,540
ocornut/imgui,2014-07-21T14:29:47Z,C++,2025-03-14T18:28:49Z,387
xtekky/gpt4free,2023-03-29T17:00:43Z,Python,2025-03-14T18:35:01Z,742
lydiahallie/javascript-questions,2019-06-12T08:26:27Z,,2025-03-14T18:21:24Z,328
sherlock-project/sherlock,2018-12-24T14:30:48Z,Python,2025-03-14T18:32:51Z,639
twitter/the-algorithm,2023-03-27T14:57:57Z,Scala,2025-03-14T18:21:25Z,2
obsproject/obs-studio,2013-10-01T02:40:31Z,C,2025-03-14T18:36:25Z,5009
keras-team/keras,2015-03-28T00:35:42Z,Python,2025-03-14T16:54:07Z,3970
Eugeny/tabby,2016-12-23T09:06:10Z,TypeScript,2025-03-14T18:26:27Z,1478
FuelLabs/sway,2021-01-19T20:54:33Z,Rust,2025-03-14T18:18:36Z,3320
awesomedata/awesome-public-datasets,2014-11-20T06:20:50Z,,2025-03-14T17:44:10Z,187
fffaraz/awesome-cpp,2014-07-17T08:51:11Z,,2025-03-14T18:07:55Z,776
resume/resume.github.com,2011-02-06T13:39:55Z,JavaScript,2025-03-14T18:21:25Z,84
openai/openai-cookbook,2022-03-11T02:08:53Z,MDX,2025-03-14T18:21:24Z,680
caddyserver/caddy,2015-01-13T19:45:03Z,Go,2025-03-14T18:42:17Z,2053
apache/echarts,2013-04-03T03:18:59Z,TypeScript,2025-03-14T18:21:25Z,1357
